nr,datetime
56064, 2022-06-23 22:56:27.080201400
56065, 2022-06-23 22:56:27.146868200
56066, 2022-06-23 22:56:27.213535
56067, 2022-06-23 22:56:27.280201800
56068, 2022-06-23 22:56:27.346868600
56069, 2022-06-23 22:56:27.413535400
56070, 2022-06-23 22:56:27.480202200
56071, 2022-06-23 22:56:27.546869
56072, 2022-06-23 22:56:27.613535800
56073, 2022-06-23 22:56:27.680202600
56074, 2022-06-23 22:56:27.746869400
56075, 2022-06-23 22:56:27.813536200
56076, 2022-06-23 22:56:27.880203
56077, 2022-06-23 22:56:27.946869800
56078, 2022-06-23 22:56:28.013536600
56079, 2022-06-23 22:56:28.080203400
56080, 2022-06-23 22:56:28.146870200
56081, 2022-06-23 22:56:28.213537
56082, 2022-06-23 22:56:28.280203800
56083, 2022-06-23 22:56:28.346870600
56084, 2022-06-23 22:56:28.413537400
56085, 2022-06-23 22:56:28.480204200
56086, 2022-06-23 22:56:28.546871
56087, 2022-06-23 22:56:28.613537800
56088, 2022-06-23 22:56:28.680204600
56089, 2022-06-23 22:56:28.746871400
56090, 2022-06-23 22:56:28.813538200
56091, 2022-06-23 22:56:28.880205
56092, 2022-06-23 22:56:28.946871800
56093, 2022-06-23 22:56:29.013538600
56094, 2022-06-23 22:56:29.080205400
56095, 2022-06-23 22:56:29.146872200
56096, 2022-06-23 22:56:29.213539
56097, 2022-06-23 22:56:29.280205800
56098, 2022-06-23 22:56:29.346872600
56099, 2022-06-23 22:56:29.413539400
56100, 2022-06-23 22:56:29.480206200
56101, 2022-06-23 22:56:29.546873
56102, 2022-06-23 22:56:29.613539800
56103, 2022-06-23 22:56:29.680206600
56104, 2022-06-23 22:56:29.746873400
56105, 2022-06-23 22:56:29.813540200
56106, 2022-06-23 22:56:29.880207
56107, 2022-06-23 22:56:29.946873800
56108, 2022-06-23 22:56:30.013540600
56109, 2022-06-23 22:56:30.080207400
56110, 2022-06-23 22:56:30.146874200
56111, 2022-06-23 22:56:30.213541
56112, 2022-06-23 22:56:30.280207800
56113, 2022-06-23 22:56:30.346874600
56114, 2022-06-23 22:56:30.413541400
56115, 2022-06-23 22:56:30.480208200
56116, 2022-06-23 22:56:30.546875
56117, 2022-06-23 22:56:30.613541800
56118, 2022-06-23 22:56:30.680208600
56119, 2022-06-23 22:56:30.746875400
56120, 2022-06-23 22:56:30.813542200
56121, 2022-06-23 22:56:30.880209
56122, 2022-06-23 22:56:30.946875800
56123, 2022-06-23 22:56:31.013542600
56124, 2022-06-23 22:56:31.080209400
56125, 2022-06-23 22:56:31.146876200
56126, 2022-06-23 22:56:31.213543
56127, 2022-06-23 22:56:31.280209800
56128, 2022-06-23 22:56:31.346876600
56129, 2022-06-23 22:56:31.413543400
56130, 2022-06-23 22:56:31.480210200
56131, 2022-06-23 22:56:31.546877
56132, 2022-06-23 22:56:31.613543800
56133, 2022-06-23 22:56:31.680210600
56134, 2022-06-23 22:56:31.746877400
56135, 2022-06-23 22:56:31.813544200
56136, 2022-06-23 22:56:31.880211
56137, 2022-06-23 22:56:31.946877800
56138, 2022-06-23 22:56:32.013544600
56139, 2022-06-23 22:56:32.080211400
56140, 2022-06-23 22:56:32.146878200
56141, 2022-06-23 22:56:32.213545
56142, 2022-06-23 22:56:32.280211800
56143, 2022-06-23 22:56:32.346878600
56144, 2022-06-23 22:56:32.413545400
56145, 2022-06-23 22:56:32.480212200
56146, 2022-06-23 22:56:32.546879
56147, 2022-06-23 22:56:32.613545800
56148, 2022-06-23 22:56:32.680212600
56149, 2022-06-23 22:56:32.746879400
56150, 2022-06-23 22:56:32.813546200
56151, 2022-06-23 22:56:32.880213
56152, 2022-06-23 22:56:32.946879800
56153, 2022-06-23 22:56:33.013546600
56154, 2022-06-23 22:56:33.080213400
56155, 2022-06-23 22:56:33.146880200
56156, 2022-06-23 22:56:33.213547
56157, 2022-06-23 22:56:33.280213800
56158, 2022-06-23 22:56:33.346880600
56159, 2022-06-23 22:56:33.413547400
56160, 2022-06-23 22:56:33.480214200
56161, 2022-06-23 22:56:33.546881
56162, 2022-06-23 22:56:33.613547800
56163, 2022-06-23 22:56:33.680214600
56164, 2022-06-23 22:56:33.746881400
56165, 2022-06-23 22:56:33.813548200
56166, 2022-06-23 22:56:33.880215
56167, 2022-06-23 22:56:33.946881800
56168, 2022-06-23 22:56:34.013548600
56169, 2022-06-23 22:56:34.080215400
56170, 2022-06-23 22:56:34.146882200
56171, 2022-06-23 22:56:34.213549
56172, 2022-06-23 22:56:34.280215800
56173, 2022-06-23 22:56:34.346882600
56174, 2022-06-23 22:56:34.413549400
56175, 2022-06-23 22:56:34.480216200
56176, 2022-06-23 22:56:34.546883
56177, 2022-06-23 22:56:34.613549800
56178, 2022-06-23 22:56:34.680216600
56179, 2022-06-23 22:56:34.746883400
56180, 2022-06-23 22:56:34.813550200
56181, 2022-06-23 22:56:34.880217
56182, 2022-06-23 22:56:34.946883800
56183, 2022-06-23 22:56:35.013550600
56184, 2022-06-23 22:56:35.080217400
56185, 2022-06-23 22:56:35.146884200
56186, 2022-06-23 22:56:35.213551
56187, 2022-06-23 22:56:35.280217800
56188, 2022-06-23 22:56:35.346884600
56189, 2022-06-23 22:56:35.413551400
56190, 2022-06-23 22:56:35.480218200
56191, 2022-06-23 22:56:35.546885
56192, 2022-06-23 22:56:35.613551800
56193, 2022-06-23 22:56:35.680218600
56194, 2022-06-23 22:56:35.746885400
56195, 2022-06-23 22:56:35.813552200
56196, 2022-06-23 22:56:35.880219
56197, 2022-06-23 22:56:35.946885800
56198, 2022-06-23 22:56:36.013552600
56199, 2022-06-23 22:56:36.080219400
56200, 2022-06-23 22:56:36.146886200
56201, 2022-06-23 22:56:36.213553
56202, 2022-06-23 22:56:36.280219800
56203, 2022-06-23 22:56:36.346886600
56204, 2022-06-23 22:56:36.413553400
56205, 2022-06-23 22:56:36.480220200
56206, 2022-06-23 22:56:36.546887
56207, 2022-06-23 22:56:36.613553800
56208, 2022-06-23 22:56:36.680220600
56209, 2022-06-23 22:56:36.746887400
56210, 2022-06-23 22:56:36.813554200
56211, 2022-06-23 22:56:36.880221
56212, 2022-06-23 22:56:36.946887800
56213, 2022-06-23 22:56:37.013554600
56214, 2022-06-23 22:56:37.080221400
56215, 2022-06-23 22:56:37.146888200
56216, 2022-06-23 22:56:37.213555
56217, 2022-06-23 22:56:37.280221800
56218, 2022-06-23 22:56:37.346888600
56219, 2022-06-23 22:56:37.413555400
56220, 2022-06-23 22:56:37.480222200
56221, 2022-06-23 22:56:37.546889
56222, 2022-06-23 22:56:37.613555800
56223, 2022-06-23 22:56:37.680222600
56224, 2022-06-23 22:56:37.746889400
56225, 2022-06-23 22:56:37.813556200
56226, 2022-06-23 22:56:37.880223
56227, 2022-06-23 22:56:37.946889800
56228, 2022-06-23 22:56:38.013556600
56229, 2022-06-23 22:56:38.080223400
56230, 2022-06-23 22:56:38.146890200
56231, 2022-06-23 22:56:38.213557
56232, 2022-06-23 22:56:38.280223800
56233, 2022-06-23 22:56:38.346890600
56234, 2022-06-23 22:56:38.413557400
56235, 2022-06-23 22:56:38.480224200
56236, 2022-06-23 22:56:38.546891
56237, 2022-06-23 22:56:38.613557800
56238, 2022-06-23 22:56:38.680224600
56239, 2022-06-23 22:56:38.746891400
56240, 2022-06-23 22:56:38.813558200
56241, 2022-06-23 22:56:38.880225
56242, 2022-06-23 22:56:38.946891800
56243, 2022-06-23 22:56:39.013558600
56244, 2022-06-23 22:56:39.080225400
56245, 2022-06-23 22:56:39.146892200
56246, 2022-06-23 22:56:39.213559
56247, 2022-06-23 22:56:39.280225800
56248, 2022-06-23 22:56:39.346892600
56249, 2022-06-23 22:56:39.413559399
56250, 2022-06-23 22:56:39.480226200
56251, 2022-06-23 22:56:39.546893
56252, 2022-06-23 22:56:39.613559800
56253, 2022-06-23 22:56:39.680226600
56254, 2022-06-23 22:56:39.746893400
56255, 2022-06-23 22:56:39.813560200
56256, 2022-06-23 22:56:39.880227
56257, 2022-06-23 22:56:39.946893800
56258, 2022-06-23 22:56:40.013560600
56259, 2022-06-23 22:56:40.080227400
56260, 2022-06-23 22:56:40.146894200
56261, 2022-06-23 22:56:40.213561
56262, 2022-06-23 22:56:40.280227800
56263, 2022-06-23 22:56:40.346894600
56264, 2022-06-23 22:56:40.413561399
56265, 2022-06-23 22:56:40.480228200
56266, 2022-06-23 22:56:40.546895
56267, 2022-06-23 22:56:40.613561800
56268, 2022-06-23 22:56:40.680228600
56269, 2022-06-23 22:56:40.746895400
56270, 2022-06-23 22:56:40.813562200
56271, 2022-06-23 22:56:40.880229
56272, 2022-06-23 22:56:40.946895800
56273, 2022-06-23 22:56:41.013562600
56274, 2022-06-23 22:56:41.080229400
56275, 2022-06-23 22:56:41.146896200
56276, 2022-06-23 22:56:41.213563
56277, 2022-06-23 22:56:41.280229800
56278, 2022-06-23 22:56:41.346896600
56279, 2022-06-23 22:56:41.413563399
56280, 2022-06-23 22:56:41.480230200
56281, 2022-06-23 22:56:41.546897
56282, 2022-06-23 22:56:41.613563800
56283, 2022-06-23 22:56:41.680230600
56284, 2022-06-23 22:56:41.746897400
56285, 2022-06-23 22:56:41.813564200
56286, 2022-06-23 22:56:41.880231
56287, 2022-06-23 22:56:41.946897800
56288, 2022-06-23 22:56:42.013564600
56289, 2022-06-23 22:56:42.080231400
56290, 2022-06-23 22:56:42.146898200
56291, 2022-06-23 22:56:42.213565
56292, 2022-06-23 22:56:42.280231800
56293, 2022-06-23 22:56:42.346898600
56294, 2022-06-23 22:56:42.413565399
56295, 2022-06-23 22:56:42.480232200
56296, 2022-06-23 22:56:42.546899
56297, 2022-06-23 22:56:42.613565800
56298, 2022-06-23 22:56:42.680232600
56299, 2022-06-23 22:56:42.746899400
56300, 2022-06-23 22:56:42.813566200
56301, 2022-06-23 22:56:42.880233
56302, 2022-06-23 22:56:42.946899800
56303, 2022-06-23 22:56:43.013566600
56304, 2022-06-23 22:56:43.080233400
56305, 2022-06-23 22:56:43.146900200
56306, 2022-06-23 22:56:43.213567
56307, 2022-06-23 22:56:43.280233800
56308, 2022-06-23 22:56:43.346900600
56309, 2022-06-23 22:56:43.413567399
56310, 2022-06-23 22:56:43.480234200
56311, 2022-06-23 22:56:43.546901
56312, 2022-06-23 22:56:43.613567800
56313, 2022-06-23 22:56:43.680234600
56314, 2022-06-23 22:56:43.746901400
56315, 2022-06-23 22:56:43.813568200
56316, 2022-06-23 22:56:43.880235
56317, 2022-06-23 22:56:43.946901800
56318, 2022-06-23 22:56:44.013568600
56319, 2022-06-23 22:56:44.080235400
56320, 2022-06-23 22:56:44.146902200